team,position,name,rank
GB,QB,Aaron Rodgers,1
NO,QB,Drew Brees,2
NE,QB,Tom Brady,3
IND,QB,Andrew Luck,4
SEA,QB,Russell Wilson,5
ATL,QB,Matt Ryan,6
CAR,QB,Cam Newton,7
TEN,QB,Marcus Mariota,8
TB,QB,Jameis Winston,9
PIT,QB,Ben Roethlisberger,10
WAS,QB,Kirk Cousins,11
OAK,QB,Derek Carr,12
LAC,QB,Philip Rivers,13
DET,QB,Matthew Stafford,14
DAL,QB,Dak Prescott,15
ARI,RB,David Johnson,1
PIT,RB,Le'Veon Bell,2
DAL,RB,Ezekiel Elliott,3
LAC,RB,Melvin Gordon,4
BUF,RB,LeSean McCoy,5
ATL,RB,Devonta Freeman,6
LAR,RB,Todd Gurley,7
TEN,RB,DeMarco Murray,8
HOU,RB,Lamar Miller,9
JAC,RB,Leonard Fournette,10
CHI,RB,Jordan Howard,11
MIA,RB,Jay Ajayi,12
CLE,RB,Isaiah Crowell,13
OAK,RB,Marshawn Lynch,14
SF,RB,Carlos Hyde,15
PIT,WR,Antonio Brown,1
NYG,WR,Odell Beckham Jr.,2
ATL,WR,Julio Jones,3
TB,WR,Mike Evans,4
CIN,WR,A.J. Green,5
GB,WR,Jordy Nelson,6
IND,WR,T.Y. Hilton,7
DAL,WR,Dez Bryant,8
HOU,WR,DeAndre Hopkins,9
OAK,WR,Amari Cooper,10
SEA,WR,Doug Baldwin,11
NE,WR,Brandin Cooks,12
NO,WR,Michael Thomas,13
JAC,WR,Allen Robinson,14
DEN,WR,Demaryius Thomas,15
NE,TE,Rob Gronkowski,1
KC,TE,Travis Kelce,2
WAS,TE,Jordan Reed,3
CAR,TE,Greg Olsen,4
SEA,TE,Jimmy Graham,5
TEN,TE,Delanie Walker,6
CIN,TE,Tyler Eifert,7
PHI,TE,Zach Ertz,8
MIN,TE,Kyle Rudolph,9
GB,TE,Martellus Bennett,10
DET,TE,Eric Ebron,11
LAC,TE,Hunter Henry,12
NE,TE,Matt Lengel,13
IND,TE,Jack Doyle,14
NO,TE,Coby Fleener,15
DEN,DEF,Denver Broncos,1
HOU,DEF,Houston Texans,2
SEA,DEF,Seattle Seahawks,3
KC,DEF,Kansas City Chiefs,4
MIN,DEF,Minnesota Vikings,5
ARI,DEF,Arizona Cardinals,6
NE,DEF,New England Patriots,7
CAR,DEF,Carolina Panthers,8
NYG,DEF,New York Giants,9
BAL,DEF,Baltimore Ravens,10
LAR,DEF,Los Angeles Rams,11
JAC,DEF,Jacksonville Jaguars,12
PHI,DEF,Philadelphia Eagles,13
PIT,DEF,Pittsburgh Steelers,14
CIN,DEF,Cincinnati Bengals,15
NE,K,Stephen Gostkowski,1
BAL,K,Justin Tucker,2
DAL,K,Dan Bailey,3
CIN,K,Jake Elliott,4
NYG,K,Aldrick Rosas,5
ATL,K,Matt Bryant,6
GB,K,Mason Crosby,7
IND,K,Adam Vinatieri,8
BUF,K,Steven Hauschka,9
MIN,K,Kai Forbath,10
OAK,K,Sebastian Janikowski,11
KC,K,Cairo Santos,12
DET,K,Matt Prater,13
CLE,K,Zane Gonzalez,14
CHI,K,Connor Barth,15
